species,hue
chalybeata,458.2
chalybeata,455.25
chalybeata,438.8333333
chalybeata,453.8
chalybeata,436.4444444
chalybeata,469.125
chalybeata,476.25
chalybeata,450.1111111
chalybeata,464.2
chalybeata,465.5
chalybeata,455.7777778
chalybeata,472.5714286
chalybeata,455.5714286
chalybeata,427
chalybeata,461.5
chalybeata,487.625
chalybeata,480.1
codringtoni,470.2
codringtoni,468
codringtoni,475.5
codringtoni,457
codringtoni,457.6666667
codringtoni,459.125
codringtoni,455.6
codringtoni,479.1
codringtoni,470.4
codringtoni,470.1
codringtoni,486.5
codringtoni,477.4285714
codringtoni,469.7777778
codringtoni,467.8
codringtoni,457.3333333
codringtoni,457.75
codringtoni,467.75
codringtoni,481.3333333
codringtoni,475.6
codringtoni,464.2
codringtoni,431.8333333
funerea,411.6666667
funerea,417
funerea,380
funerea,397.3333
funerea,413.25
funerea,408
funerea,407.5
funerea,404.6666667
funerea,405.625
funerea,411.625
funerea,434.2222222
funerea,409.75
funerea,426.25
funerea,409.2
funerea,412.75
funerea,397.7142857
funerea,394.4
funerea,412.5
funerea,401.2
funerea,413.5
funerea,410
funerea,409.5714286
funerea,385.5
funerea,430.7
funerea,415.75
funerea,424.6666667
funerea,409.375
funerea,408.25
funerea,408.8
funerea,395
funerea,410.75
funerea,385.1428571
funerea,397
funerea,400
funerea,401.8888889
purpurascens,395
purpurascens,357.6
purpurascens,410.8333333
purpurascens,383.8571429
purpurascens,370.1666667
purpurascens,408.6666667
purpurascens,382.5714286
purpurascens,389.3
purpurascens,366.3
purpurascens,389.6666667
purpurascens,391.3333333
purpurascens,375
purpurascens,381.125
purpurascens,344.75
purpurascens,377.375
purpurascens,402.8
purpurascens,394.8888889
purpurascens,402.375
purpurascens,366
purpurascens,402.875
purpurascens,397.3333333