mutant,speed
bocks,0.27418
bocks,0.20909
bocks,0.37275
bocks,0.41646
bocks,0.15941
bocks,0.16584
bocks,0.14240
bocks,0.13240
bocks,0.26814
bocks,0.25174
bocks,0.27033
bocks,0.33209
bocks,0.10040
bocks,0.29177
bocks,0.26133
bocks,0.13230
bocks,0.37100
bocks,0.10190
bocks,0.20280
bocks,0.10230
bocks,0.07970
bocks,0.26060
bocks,0.07620
bocks,0.44320
bocks,0.29330
bocks,0.07380
bocks,0.06480
bocks,0.52600
bocks,0.27690
bocks,0.19880
bocks,0.44320
bocks,0.42780
bocks,0.30560
bocks,0.31180
bocks,0.04660
koi,0.23277
koi,0.10700
koi,0.17540
koi,0.21495
koi,0.30370
koi,0.23840
koi,0.23766
koi,0.09620
koi,0.13130
koi,0.19800
koi,0.24889
koi,0.39108
koi,0.18920
koi,0.09480
koi,0.25813
koi,0.19450
koi,0.35590
koi,0.27795
koi,0.43430
koi,0.17270
koi,0.49550
koi,0.26380
koi,0.24077
koi,0.34000
koi,0.31197
koi,0.23290
koi,0.23290
koi,0.28440
koi,0.37224
koi,0.25300
koi,0.38080
koi,0.35430
koi,0.21217
koi,0.17690
koi,0.23958
ote,0.29058
ote,0.55265
ote,0.29166
ote,0.27589
ote,0.20101
ote,0.22370
ote,0.31950
ote,0.26630
ote,0.30980
ote,0.16074
ote,0.41090
ote,0.22982
ote,0.37070
ote,0.18750
ote,0.29280
ote,0.24240
ote,0.35369
ote,0.31480
ote,0.31335
ote,0.33580
ote,0.10685
ote,0.41590
ote,0.17400
ote,0.31040
ote,0.06446
ote,0.27880
ote,0.37640
ote,0.28116
ote,0.31114
ote,0.15636
ote,0.30920
ote,0.41720
ote,0.20920
ote,0.25190
ote,0.18247